Project ID	Direct Sponsor	Prime Sponsor	Amount Awarded	Project Start	Project End	Faculty 0			
(1406) 2014-0976	Carnegie Mellon University	US Air Force (USAF)	189999	7/1/2014	12/31/2016	Faculty 5	Faculty 9		
									
									
									
(1406) 2014-0688	National Science Foundation (NSF)	National Science Foundation (NSF)	149928	6/1/2014	5/31/2018	Faculty 50			
									
									
									
(1406) 2014-0677	National Science Foundation (NSF)	National Science Foundation (NSF)	241140	7/1/2014	6/30/2018	Faculty 69			
									
									
									
(1406) 2014-0479	National Science Foundation (NSF)	National Science Foundation (NSF)	106387	6/30/2013	1/31/2015	Faculty 12			
									
									
									
(1406) 2014-0452	Yale University	National Science Foundation (NSF)	121990	7/1/2013	6/30/2016	Faculty 12			
									
									
									
(1406) 2014-0105	Pratt & Whitney	National Science Foundation (NSF)	0	4/10/2013	9/30/2017	Faculty 5			
									
									
									
(1402) 2013-2983	National Science Foundation (NSF)	National Science Foundation (NSF)	999809	12/1/2013	11/30/2017	Faculty 72	Faculty 73	Faculty 74	Faculty 37
									
									
									
(1406) 2013-2500	Durham VA Medical Center	US Dept. of Veterans Affairs (VA)	460880	8/1/2013	7/31/2017	Faculty 29			
									
									
									
(1406) 2013-2480	NCSU Faculty Research & Professional Development Fund	NCSU Faculty Research & Professional Development Fund	7000	7/1/2013	6/30/2014	Faculty 44			
									
									
									
(1406) 2013-2245	NCSU Research and Innovation Seed Funding Program	NCSU Research and Innovation Seed Funding Program	20000	7/1/2013	6/30/2014	Faculty 44	Faculty 75	Faculty 76	
									
									
									
(1406) 2013-1883	National Science Foundation (NSF)	National Science Foundation (NSF)	279613	9/1/2013	8/31/2018	Faculty 37			
									
									
									
(1406) 2013-1857	National Science Foundation (NSF)	National Science Foundation (NSF)	130001	9/1/2013	8/31/2017	Faculty 5	Faculty 8	Faculty 7	
									
									
									
(1406) 2013-1692	Case Western Reserve University	National Center for Defense Manufacturing and Machining 	201572	5/1/2013	8/30/2016	Faculty 5			
									
									
									
(1406) 2013-1452	SAS Institute Inc.	SAS Institute Inc.	148520	1/7/2013	8/20/2015	Faculty 77			
									
									
									
(1406) 2012-2041	SAS Institute Inc.	SAS Institute Inc.	124399	5/22/2012	7/31/2014	Faculty 78			
									
									
									
(1406) 2012-1787	US Army - Army Research Office	US Army - Army Research Office	214997	8/17/2012	7/31/2015	Faculty 56			
									
									
									
(1406) 2012-1740	National Science Foundation (NSF)	National Science Foundation (NSF)	209556	9/1/2012	8/31/2015	Faculty 78			
									
									
									
(1406) 2012-1738	National Science Foundation (NSF)	National Science Foundation (NSF)	358017	9/15/2012	8/31/2016	Faculty 37	Faculty 13		
									
									
									
(1406) 2012-1556	NC Department of Transportation	NC Department of Transportation	133517	7/1/2012	9/30/2013	Faculty 11	Faculty 79	Faculty 80	Faculty 81
									
									
									
(1406) 2012-0895	"ArgentumCidalElectrics (ACE), Inc."	"ArgentumCidalElectrics (ACE), Inc."	32996	2/8/2012	6/30/2012	Faculty 44	Faculty 82		
									
									
									
(1406) 2012-0710	NCSU Research and Innovation Seed Funding Program	NCSU Research and Innovation Seed Funding Program	15000	11/1/2011	4/30/2012	Faculty 44	Faculty 82	Faculty 75	
									
									
									
(1406) 2012-0699	National Science Foundation (NSF)	National Science Foundation (NSF)	200000	9/15/2012	8/31/2014	Faculty 60	Faculty 5		
									
									
									
(1406) 2012-0593	National Science Foundation (NSF)	National Science Foundation (NSF)	434823	8/15/2011	5/31/2016	Faculty 3			
									
									
									
(1406) 2012-0227	National Science Foundation (NSF)	National Science Foundation (NSF)	199760	9/1/2011	8/31/2016	Faculty 78			
									
									
									
(1406) 2012-0078	UNC - UNC Chapel Hill	National Institute for Occupational Safety & Health	0			Faculty 11			
									
									
									
(1406) 2012-0045	NCSU Furniture Manufacturing & Management Center	NCSU Furniture Manufacturing & Management Center	255474	7/1/2011	6/30/2015	Faculty 9	Faculty 30		
									
									
									
(1950) 2011-2306	Morris Animal Foundation	Morris Animal Foundation	4000	6/1/2011	8/31/2011	Faculty 57	Faculty 5		
									
									
									
(1950) 2011-2055	"Bone Cancer Dogs, Inc."	"Bone Cancer Dogs, Inc."	12000	5/1/2011	8/31/2012	Faculty 57	Faculty 5	Faculty 8	
									
									
									
(1406) 2011-1750	National Science Foundation (NSF)	National Science Foundation (NSF)	244000	9/1/2011	8/31/2015	Faculty 37	Faculty 35		
									
									
									
(1406) 2011-1689	Wake Forest University School of Medicine	NC Department of Commerce	128075	1/1/2011	6/30/2012	Faculty 60	Faculty 5	Faculty 50	Faculty 37
									
									
									
(1406) 2011-1633	Agency for Healthcare Research and Quality (AHRQ) 	Agency for Healthcare Research and Quality (AHRQ) 	35363	9/1/2011	8/31/2012	Faculty 78			
									
									
									
(1406) 2011-1560	National Science Foundation (NSF)	National Science Foundation (NSF)	155497	3/15/2011	5/31/2013	Faculty 60	Faculty 37	Faculty 5	Faculty 50
									
									
									
(1406) 2011-1232	SAS Institute Inc.	SAS Institute Inc.	97508	1/14/2011	12/15/2012	Faculty 83			
									
									
									
(1406) 2011-0428	"Duke University Health System, Inc"	"Duke University Health System, Inc"	48774	8/16/2010	12/31/2011	Faculty 84			
									
									
									
(1864) 2011-0052	NCSU National Textile Center Program	NCSU National Textile Center Program	69999	5/1/2010	4/30/2012	Faculty 85	Faculty 9	Faculty 86	
									
									
									
(0620) 2010-2728	Federal Highway Administration (FHWA)	Federal Highway Administration (FHWA)	839062	9/20/2010	8/19/2015	Faculty 87	Faculty 11	Faculty 88	Faculty 32
									
									
									
(1409) 2010-2331	National Science Foundation (NSF)	National Science Foundation (NSF)	200000	1/1/2011	6/30/2013	Faculty 35	Faculty 89	Faculty 37	Faculty 90
									
									
									
(1403) 2010-2198	NC Department of Transportation	NC Department of Transportation	33190	6/1/2010	2/28/2011	Faculty 79	Faculty 80	Faculty 11	
									
									
									
(1406) 2010-1561	National Science Foundation (NSF)	National Science Foundation (NSF)	480095	8/15/2010	7/31/2014	Faculty 25			
									
									
									
(1406) 2010-1557	UNC - UNC Chapel Hill	National Institute for Occupational Safety & Health	1417820	7/1/2010	6/30/2018	Faculty 2	Faculty 3	Faculty 4	
									
									
									
(1406) 2010-1406	University of California - Irvine	Defense Advanced Research Projects Agency  (DARPA)	94610	4/1/2010	1/14/2011	Faculty 5			
									
									
									
(1406) 2010-0714	National Science Foundation (NSF)	National Science Foundation (NSF)	197457	5/1/2010	4/30/2014	Faculty 10	Faculty 25		
									
									
									
(1406) 2010-0698	National Science Foundation (NSF)	National Science Foundation (NSF)	330000	8/1/2010	7/31/2014	Faculty 13			
									
									
									
(1406) 2010-0446	UNC - UNC Chapel Hill	National Institute for Occupational Safety & Health	159240	7/1/2009	6/30/2010	Faculty 11			
									
									
									
(1864) 2010-0329	NCSU National Textile Center Program	NCSU National Textile Center Program	104783	5/1/2009	7/31/2011	Faculty 85	Faculty 86	Faculty 9	Faculty 91
									
									
									
(1406) 2010-0148	NCSU Furniture Manufacturing & Management Center	NCSU Furniture Manufacturing & Management Center	107285	7/1/2009	6/30/2012	Faculty 9			
									
									
									
(1406) 2010-0142	National Aeronautics & Space Administration (NASA)	National Aeronautics & Space Administration (NASA)	7300	7/1/2009	9/30/2009	Faculty 11			
									
									
									
(1406) 2009-2776	Durham VA Medical Center	US Dept. of Veterans Affairs (VA)	454800	7/1/2009	5/31/2013	Faculty 29			
									
									
									
(1406) 2009-2399	SAS Institute Inc.	SAS Institute Inc.	45147	6/1/2009	2/20/2010	Faculty 77			
									
									
									
(1406) 2009-2314	SAS Institute Inc.	SAS Institute Inc.	144646	5/18/2009	5/14/2012	Faculty 25			
									
									
									
(1406) 2009-2298	University of Pittsburgh	US Dept. of Veterans Affairs (VA)	29893	9/28/2009	9/27/2011	Faculty 84			
									
									
									
(1406) 2009-2247	US Army - Army Research Office	US Army - Army Research Office	366404	10/1/2009	12/31/2012	Faculty 56	Faculty 92		
									
									
									
(1406) 2009-2176	NCSU Faculty Research & Professional Development Fund	NCSU Faculty Research & Professional Development Fund	5000	7/1/2009	6/30/2010	Faculty 37			
									
									
									
(1406) 2009-1518	National Science Foundation (NSF)	National Science Foundation (NSF)	10000	8/15/2009	7/31/2012	Faculty 25			
									
									
									
(1406) 2009-1361	UNC - UNC Chapel Hill	National Institute for Occupational Safety & Health	10000	1/1/2009	6/30/2009	Faculty 11	Faculty 93		
									
									
									
(1408) 2009-1186	US Navy-Office Of Naval Research	US Navy-Office Of Naval Research	1689861	6/3/2009	12/31/2011	Faculty 94	Faculty 95		
									
									
									
(1406) 2009-1175	University of Illinois - Urbana-Champaign	National Science Foundation (NSF)	125804	7/1/2008	6/30/2012	Faculty 37			
									
									
									
(1406) 2009-0746	National Science Foundation (NSF)	National Science Foundation (NSF)	654373	7/1/2009	12/31/2013	Faculty 11	Faculty 50		
									
									
									
(1406) 2009-0329	Pratt & Whitney	Pratt & Whitney	50713	9/1/2008	12/23/2008	Faculty 96			
									
									
									
(1406) 2009-0286	SAS Institute Inc.	SAS Institute Inc.	92949	8/20/2008	3/31/2010	Faculty 56			
									
									
									
(1406) 2009-0179	UNC - UNC Chapel Hill	National Institute for Occupational Safety & Health	133422	7/1/2008	6/30/2009	Faculty 11	Faculty 93		
									
									
									
(1406) 2009-0098	National Science Foundation (NSF)	National Science Foundation (NSF)	97526	1/1/2009	9/30/2012	Faculty 84			
									
									
									
(1475) 2008-2447	UNC - UNC Chapel Hill	National Science Foundation (NSF)	214582	7/1/2008	6/30/2012	Faculty 97	Faculty 50		
									
									
									
(1406) 2008-2133	UNC - UNC Chapel Hill	Centers for Disease Control & Prevention	1102898	9/30/2008	9/29/2013	Faculty 10	Faculty 98	Faculty 25	
									
									
									
(1406) 2008-2053	UNC - UNC Chapel Hill	Boeing Company	122687	3/1/2008	1/31/2009	Faculty 56			
									
									
									
(1406) 2008-1973	Purdue University	"Regenstrief Institute, Inc."	25000	4/1/2008	6/30/2010	Faculty 98	Faculty 25		
									
									
									
(1406) 2008-1801	NCSU Faculty Research & Professional Development Fund	NCSU Faculty Research & Professional Development Fund	6000	7/1/2008	6/30/2009	Faculty 84			
									
									
									
(1406) 2008-1573	National Aeronautics & Space Administration (NASA)	National Aeronautics & Space Administration (NASA)	60000	5/1/2008	4/30/2010	Faculty 11			
									
									
									
(1406) 2008-1149	National Science Foundation (NSF)	National Science Foundation (NSF)	39426	4/1/2008	7/31/2008	Faculty 98	Faculty 84	Faculty 10	Faculty 25
									
									
									
(1864) 2008-1071	NCSU Institute of Textile Technology	NCSU Institute of Textile Technology	33427	1/1/2008	6/30/2009	Faculty 85	Faculty 9	Faculty 86	
									
									
									
(1864) 2008-1064	NCSU Institute of Textile Technology	NCSU Institute of Textile Technology	33743	1/1/2008	6/30/2009	Faculty 85	Faculty 9	Faculty 86	
									
									
									
(1406) 2008-0941	NCSU Furniture Manufacturing & Management Center	NCSU Furniture Manufacturing & Management Center	87636	1/1/2008	8/31/2009	Faculty 99			
									
									
									
(1406) 2008-0922	National Science Foundation (NSF)	National Science Foundation (NSF)	40827	5/31/2008	6/30/2009	Faculty 25			
									
									
									
(1406) 2008-0896	Mayo Foundation for Medical Education and Research	Agency for Healthcare Research and Quality (AHRQ) 	161133	8/11/2008	7/31/2011	Faculty 84			
									
									
									
(1406) 2008-0829	US Army - Army Research Office	US Army - Army Research Office	124887	1/23/2008	1/22/2009	Faculty 83			
