trknum,CreateDate,ProductName,Topic,Subtopic,Platform,PageCount
7612487596,02JUL2018:19:03:05.000,External Web,SAS profile,activation e-mail,web browser,4
7612340364,24JAN2018:07:10:13.213,External Web,SAS profile,activation e-mail,,4
7612539367,28AUG2018:16:06:12.533,SAS University Edition Basic vApp,error,other,win10,4
7612378475,04MAR2018:22:45:20.537,SAS OnDemand for Academics: Enterprise Guide,configuration,r&d assistance,win10,21
7612442810,11MAY2018:18:40:56.343,External Web,SAS profile,password reset,web browser,4
7612507897,25JUL2018:00:40:03.027,SAS OnDemand for Academics: Enterprise Miner,usage,,win10,4
7612346695,30JAN2018:17:46:35.283,SAS University Edition Basic vApp,inquiry/interest,,win10,5
7612481310,25JUN2018:22:57:17.090,SAS University Edition Basic vApp,error,,win10,2
7612353595,06FEB2018:16:32:19.587,SAS University Edition Basic vApp,download,,windows,4
7612404433,29MAR2018:17:23:14.917,SAS University Edition Basic vApp,virtualbox,,win10,5
7612294513,28NOV2017:20:43:30.993,SAS OnDemand for Academics,instructor data,,win10,1
7612424103,20APR2018:13:14:48.483,SAS University Edition Basic vApp,error,other,mac x64,18
7612545459,04SEP2018:15:28:47.730,SAS University Edition Basic vApp,download,,mac x64,17
7612378276,03MAR2018:16:18:14.650,SAS University Edition Basic vApp,virtualbox,,win10,13
7612423988,20APR2018:10:58:36.380,External Web,SAS profile,password reset,web browser,4
7612385970,10MAR2018:00:41:06.330,SAS OnDemand for Academics,outage,,,4
7612545510,04SEP2018:15:56:08.323,External Web,SAS profile,password reset,web browser,6
7612377808,02MAR2018:17:59:04.510,SAS University Edition Basic vApp,error,other,mac x64,29
7612307698,13DEC2017:08:05:33.090,External Web,SAS profile,password reset,web browser,4
7612545900,04SEP2018:20:40:13.697,SAS OnDemand for Academics,registration,,win10,4
7612494776,10JUL2018:21:27:35.167,SAS University Edition Basic vApp,download,,mac x64,1
7612474898,18JUN2018:19:19:50.453,SAS University Edition Basic vApp,shared folder,,winx64,9
7612513443,31JUL2018:09:33:08.687,External Web,SAS profile,password reset,web browser,1
7612552585,11SEP2018:06:21:37.430,Miscellaneous,no meaningful topic,,win10,1
7612474830,18JUN2018:18:16:40.123,SAS University Edition Basic vApp,download,,win10,4
7612449601,21MAY2018:04:58:17.670,SAS University Edition Basic vApp,error,other,mac x64,4
7612494979,11JUL2018:04:50:57.000,SAS Ondemand for Academics: Control Center,log on,,,4
7612513447,31JUL2018:09:34:11.260,External Web,SAS profile,password reset,web browser,1
7612507628,24JUL2018:18:59:21.977,SAS University Edition Basic vApp,download,,win10,4
7612474412,18JUN2018:13:55:23.647,SAS University Edition Basic vApp,error,other,win10,4
7612449486,20MAY2018:22:54:12.843,External Web,SAS profile,activation e-mail,web browser,6
7612353921,06FEB2018:19:52:11.427,External Web,SAS profile,profile creation error,web browser,3
7612468852,11JUN2018:22:10:07.103,External Web,SAS profile,activation e-mail,,4
7612545920,04SEP2018:20:52:58.667,SAS University Edition Basic vApp,usage,refered to faqs,linux x64,4
7612481210,25JUN2018:20:39:39.440,SAS Viya Trial,log on,,,9
7612410985,06APR2018:03:34:33.760,SAS University Edition Basic vApp,virtualbox,settings,mac x64,9
7612552315,10SEP2018:20:49:05.427,SAS University Edition Basic vApp,shared folder,,win10,1
7612377908,02MAR2018:19:19:36.097,External Web,SAS profile,password reset,web browser,4
7612545525,04SEP2018:16:07:23.553,SAS University Edition Basic vApp,error,other,win10,1
7612385360,09MAR2018:14:52:49.903,SAS OnDemand for Academics: Enterprise Guide,no meaningful topic,,win10,10
7612519369,06AUG2018:20:30:58.777,External Web,SAS profile,deletion request,web browser,3
7612267971,31OCT2017:06:27:32.323,SAS Viya Trial,log on,,,5
7612294027,28NOV2017:16:00:09.293,SAS OnDemand for Academics: Enterprise Miner,usage,r&d assistance,,6
7612539432,28AUG2018:16:41:52.703,e-Learning,Outage,r&d assistance,win10,4
7612292297,27NOV2017:12:15:47.653,SAS Viya Trial,log on,,,5
7612451755,22MAY2018:21:52:59.707,SAS University Edition Basic vApp,error,other,win10,1
7612425471,23APR2018:13:38:40.703,Curriculum Pathways,user accounts,,,2
7612478027,21JUN2018:11:13:09.387,SAS Viya Trial,log on,,,6
7612502592,18JUL2018:21:32:10.090,SAS University Edition Basic vApp,virtualbox,settings,win10,1
7612554403,12SEP2018:14:26:50.873,SAS University Edition Basic vApp,download,,windows,4
7612291805,26NOV2017:07:25:13.877,External Web,SAS profile,password reset,web browser,4
7612477615,20JUN2018:23:03:31.080,SAS University Edition Basic vApp,error,other,winx64,4
7612399559,24MAR2018:15:24:16.127,External Web,SAS profile,activation e-mail,web browser,4
7612431903,30APR2018:19:01:26.733,SAS University Edition Basic vApp,error,other,win10,6
7612292368,27NOV2017:13:32:51.107,SAS Viya Trial,log on,,,5
7612471292,13JUN2018:20:22:25.610,SAS Visual Analytics,try before you buy,,linux x64,6
7612541313,30AUG2018:00:53:20.663,SAS University Edition Basic vApp,download,,win10,33
7612470873,13JUN2018:15:18:30.643,External Web,SAS profile,activation e-mail,web browser,3
7612464928,06JUN2018:19:35:07.050,External Web,SAS profile,password reset,web browser,1
7612419050,16APR2018:10:19:12.830,SAS Viya Trial,log on,,,8
7612478074,21JUN2018:12:12:48.017,Miscellaneous,no meaningful topic,,win10,2
7612464524,06JUN2018:15:21:04.073,External Web,SAS profile,,web browser,3
7612471099,13JUN2018:18:09:24.817,External Web,SAS profile,password reset,web browser,4
7612279042,11NOV2017:20:01:16.933,Web Profile,no meaningful topic,,,4
7612318738,29DEC2017:14:06:44.860,SAS OnDemand for Academics,log on,,,4
7612571885,29SEP2018:17:54:34.430,External Web,SAS profile,profile creation,web browser,4
7612477571,20JUN2018:21:38:12.593,SAS University Edition Basic vApp,error,other,winx64,5
7612425191,23APR2018:09:26:43.970,External Web,SAS profile,activation e-mail,web browser,4
7612305101,11DEC2017:05:05:44.933,External Web,SAS profile,profile creation error,web browser,4
7612330611,12JAN2018:22:43:53.493,SAS University Edition Basic vApp,error,bios,win10,2
7612471114,13JUN2018:18:23:37.477,e-Learning,Sample data/practice files,,win10,1
7612312017,18DEC2017:16:40:23.077,SAS University Edition Basic vApp,error,other,win10,4
7612298647,03DEC2017:15:09:05.600,External Web,SAS profile,activation e-mail,web browser,4
7612278742,10NOV2017:19:25:54.303,External Web,SAS profile,activation e-mail,web browser,5
7612318299,28DEC2017:12:40:35.207,SAS Viya Trial,sas visual data mining and machine learning,,,24
7612298591,03DEC2017:05:28:56.780,External Web,SAS profile,password reset,web browser,4
7612522426,09AUG2018:12:52:29.890,External Web,SAS profile,profile creation,web browser,4
7612509147,26JUL2018:02:16:17.450,SAS University Edition Basic vApp,virtualbox,bios,winx64,4
7612431785,30APR2018:17:33:12.547,SAS University Edition Basic vApp,inquiry/interest,,,1
7612459204,31MAY2018:09:33:59.570,External Web,SAS profile,activation e-mail,,4
7612399247,23MAR2018:17:48:58.667,External Web,SAS profile,password reset,,4
7612529252,17AUG2018:05:50:42.573,External Web,SAS profile,activation e-mail,web browser,4
7612532317,21AUG2018:13:24:18.203,SAS University Edition Basic vApp,error,bios,win10,3
7612385382,09MAR2018:15:04:00.627,SAS University Edition Basic vApp,virtualbox,settings,win10,5
7612538981,28AUG2018:12:39:46.733,SAS OnDemand for Academics,registration,,win10,6
7612539095,28AUG2018:13:38:43.143,SAS Solutions OnDemand,login problem,,windows,8
7612346786,30JAN2018:18:50:55.683,e-Learning,Content question,,win8.1,1
7612546032,04SEP2018:23:53:16.883,SAS University Edition Basic vApp,virtualbox,,linux x64,9
7612398177,22MAR2018:19:57:40.663,e-Learning,Technical Problem,,win7,3
7612449735,21MAY2018:09:31:26.210,SAS OnDemand for Academics,log on,,,4
7612371459,25FEB2018:15:07:50.533,SAS University Edition Basic vApp,error,other,windows,4
7612481169,25JUN2018:19:56:06.800,External Web,SAS profile,activation e-mail,web browser,6
7612545942,04SEP2018:21:18:12.720,External Web,SAS profile,password reset,web browser,4
7612474489,18JUN2018:14:37:23.833,SAS University Edition Basic vApp,error,other,win10,8
7612552190,10SEP2018:19:00:12.073,SAS OnDemand for Academics: SAS Studio,documentation,,web browser,1
7612449381,20MAY2018:05:14:56.877,External Web,SAS profile,activation e-mail,web browser,4
7612360237,13FEB2018:16:46:25.140,SAS University Edition Basic vApp,update,,windows,4
7612436246,04MAY2018:15:58:37.533,External Web,SAS profile,profile creation error,,4
7612340151,23JAN2018:23:07:03.970,External Web,SAS profile,email update/change,web browser,7
7612487798,02JUL2018:22:38:05.393,SAS University Edition Basic vApp,error,,mac x64,5
7612443238,14MAY2018:01:29:46.597,External Web,SAS profile,activation e-mail,,4
7612552129,10SEP2018:18:10:59.060,SAS University Edition Basic vApp,download,,win10,11
7612532512,21AUG2018:15:23:28.577,SAS Ondemand for Academics: Control Center,log on,r&d assistance,linux x64,1
7612552216,10SEP2018:19:23:48.597,Jupyter Notebook - SAS Kernel,installation,,,16
7612429796,26APR2018:21:05:51.730,SAS Ondemand for Academics: Control Center,log on,r&d assistance,,4
7612307869,13DEC2017:12:06:33.610,SAS OnDemand for Academics,instructor data,,,9
7612430271,27APR2018:13:07:09.270,SAS OnDemand for Academics: SAS Studio,performance,r&d assistance,web browser,5
7612417632,13APR2018:07:31:59.483,External Web,SAS profile,password reset,web browser,5
7612526245,14AUG2018:13:12:21.467,SAS Viya Trial,log on,,,4
7612308009,13DEC2017:14:36:22.833,SAS University Edition Basic vApp,error,other,win10,12
7612307454,12DEC2017:22:24:32.833,SAS University Edition Basic vApp,error,other,mac x64,13
7612417699,13APR2018:09:05:01.703,External Web,SAS profile,activation e-mail,web browser,4
7612545603,04SEP2018:17:01:09.220,External Web,SAS profile,password reset,web browser,4
7612545593,04SEP2018:16:51:27.840,SAS University Edition Basic vApp,update,,win10,7
7612449361,20MAY2018:01:32:54.220,SAS OnDemand for Academics: Enterprise Miner,usage,,win10,7
7612545461,04SEP2018:15:33:31.993,SAS Viya,programming,,linux x64,7
7612519573,07AUG2018:02:48:33.677,SAS Ondemand for Academics: Control Center,log on,,linux x64,6
7612539434,28AUG2018:16:43:22.333,e-Learning,Technical Problem,r&d assistance,win10,4
7612522954,09AUG2018:18:53:36.160,External Web,SAS profile,password reset,web browser,3
7612560934,19SEP2018:13:35:29.950,SAS Ondemand for Academics: Control Center,log on,,linux x64,4
7612369368,22FEB2018:15:03:59.597,External Web,SAS profile,activation e-mail,web browser,4
7612516273,02AUG2018:13:46:27.317,SAS OnDemand for Academics: Enterprise Guide,log on,,win10,17
7612522714,09AUG2018:15:41:44.797,External Web,SAS profile,password reset,web browser,4
7612392956,18MAR2018:21:00:14.537,SAS University Edition Basic vApp,download,,,7
7612560605,19SEP2018:07:32:28.457,External Web,SAS profile,password reset,web browser,6
7612419649,16APR2018:18:34:38.260,SAS University Edition Basic vApp,error,other,win7,18
7612535002,23AUG2018:13:55:24.693,SAS Solutions OnDemand,login problem,,windows,20
7612324786,08JAN2018:15:36:19.277,SAS Viya Trial,log on,,,6
7612279102,12NOV2017:13:38:34.493,SAS OnDemand for Academics: Enterprise Miner,,,win10,2
7612502580,18JUL2018:21:09:49.640,SAS University Edition Basic vApp,download,,win10,2
7612330100,12JAN2018:15:11:40.427,SAS OnDemand for Academics: Enterprise Guide,instructor data,,windows,1
7612560290,18SEP2018:22:19:40.223,e-Learning,Sample data/practice files,,win10,7
7612509528,26JUL2018:12:25:30.457,e-Learning,Technical Problem,r&d assistance,win7,4
7612298645,03DEC2017:15:02:06.677,SAS OnDemand for Academics,log on,,,8
7612572083,30SEP2018:22:52:10.060,SAS Ondemand for Academics: Control Center,outage,,linux x64,5
7612471076,13JUN2018:17:52:50.223,SAS University Edition Basic vApp,error,other,win8,14
7612535307,23AUG2018:17:33:29.187,SAS University Edition Basic vApp,error,bios,win10,4
7612471272,13JUN2018:20:10:53.833,SAS OnDemand for Academics: Enterprise Miner,usage,,win10,7
7612312218,18DEC2017:19:24:26.273,SAS Viya Trial,log on,,,4
7612522985,09AUG2018:19:31:43.183,Curriculum Pathways,interactivity,,win10,21
7612534720,23AUG2018:09:19:53.653,External Web,SAS profile,email update/change,web browser,6
7612386970,12MAR2018:15:15:03.337,SAS University Edition Basic vApp,error,other,mac x64,4
7612399416,23MAR2018:20:32:04.987,External Web,SAS profile,email update/change,web browser,4
7612566643,25SEP2018:16:14:16.333,SAS University Edition Basic vApp,error,other,mac x64,4
7612464734,06JUN2018:17:32:13.973,SAS University Edition Basic vApp,shared folder,,mac x64,4
7612464642,06JUN2018:16:42:43.343,SAS University Edition Basic vApp,download,,mac x64,1
7612312064,18DEC2017:17:08:59.513,SAS University Edition Basic vApp,update,,win10,1
7612438075,07MAY2018:20:17:09.850,SAS Ondemand for Academics: Control Center,registration,r&d assistance,,1
